  k      y  
0     0+i*1.84119520777772
0.1     0+i*1.83877918320927
0.2     0+i*1.83164893605804
0.3     0+i*1.82022095300359
0.4     0+i*1.80545529700402
0.5     0+i*1.78954667516278
0.6     0+i*1.77816233525229
0.7     0+i*1.7913998249919
0.8     1.7032176179754+i*0.181793152696185
0.9     1.58978776638748+i*0.393261092615666
1     1.43734617551755+i*0.50545363179365
1.1     1.19674662521315+i*0.532772224351571
1.2     1.1526798019223+0
1.3     2.04639528621093+0
1.4     2.62821637879302+0
1.5     3.12370037310381+0
1.6     3.57507423199409+0
1.7     3.9992158257818+0
1.8     4.40478461019541+0
1.9     4.79686505052304+0
2     5.17871048112278+0
